code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
6948-4,lamoTRIgine,MCnc,Pt,Ser/Plas,Qn,,"Lamotrigine, S","Lamotrigine, S"
43995-0,Fetal trisomy 21 risk,Likelihood,Pt,^Fetus,Qn,,Down syndrome screen risk estimate,Down syndrome screen risk estimate
43994-3,Fetal trisomy 18 risk,Likelihood,Pt,^Fetus,Qn,,Trisomy 18 screen risk estimate,Trisomy 18 screen risk estimate
9738-6,Gabapentin,MCnc,Pt,Ser/Plas/Bld,Qn,,"Gabapentin, S","Gabapentin, S"
31500-2,Ganglioside GM1 Ab.IgG+IgM,ACnc,Pt,Ser,Qn,,"GM1 Antibodies, IgG-IgM","GM1 Antibodies, IgG-IgM"
31674-5,Ganglioside GQ1b Ab,ACnc,Pt,Ser,Qn,,"GQ1b Antibodies, IgG-IgM","GQ1b Antibodies, IgG-IgM"
51715-1,Mitochondria M2 Ab,ACnc,Pt,Ser,Qn,IA,"Mitochondrial Ab, M2, S","Mitochondrial Ab, M2, S"
93973-6,Iohexol,MCnc,Pt,Urine,Qn,,"Iohexol, U","Iohexol, U"
93880-3,N-Nervonoylsphingosine,SCnc,Pt,Plas,Qn,,Ceramide (24:1),Ceramide (24:1)
93879-5,N-Palmitoylsphingosine/N-Lignoceroylsphingosine,SRto,Pt,Plas,Qn,,Ceramide (16:0)/(24:0) ratio,Ceramide (16:0)/(24:0) ratio
93878-7,N-Stearoylsphingosine/N-Lignoceroylsphingosine,SRto,Pt,Plas,Qn,,Ceramide (18:0)/(24:0) ratio,Ceramide (18:0)/(24:0) ratio
93877-9,N-Nervonoylsphingosine/N-Lignoceroylsphingosine,SRto,Pt,Plas,Qn,,Ceramide (24:1)/(24:0) ratio,Ceramide (24:1)/(24:0) ratio
93876-1,Ceramide risk score,Score,Pt,Plas,Qn,Calculated,MI-Heart Ceramide Risk Score,MI-Heart Ceramide Risk Score
93882-9,N-Palmitoylsphingosine,SCnc,Pt,Plas,Qn,,Ceramide (16:0),Ceramide (16:0)
93856-3,Enterovirus RNA,PrThr,Pt,XXX,Ord,Non-probe.amp.tar,Enterovirus PCR,Enterovirus PCR
38188-9,Bile acid.trihydroxy,SCnc,Pt,Ser/Plas,Qn,,Trihydroxycholestanoic Acid,Trihydroxycholestanoic Acid
30518-5,Cholate,SCnc,Pt,Ser/Plas,Qn,,Total Cholic Acid,Total Cholic Acid
